"GLIMS_ID"	"Latitude"	"Longitude"	"Type"	"M_Basin"	"Basin"	"Sub_basin"	"Area"	"Altitude"	"Dist_gr"	"Gr_fed"	"LithologyGLiM"	"GeologyHodgesYin"	"lake_ar"	"catchm_ar"	"glacier_ar"	"glac_cov"	"dist_lg"	"deb_ar"	"deb_cov"	"no_lakes_ctchm"	"Z_min"	"Z_q25"	"Z_q50"	"Z_mean"	"Z_q75"	"Z_max"	"Z_diff"	"mean_asp_ctchm"	"mean_slp_ctchm"	"mean_slp_250m"	"mean_slp_500m"	"mean_slp_1000m"	"no_eq_tot"	"eq_dep_min"	"eq_dep_q25"	"eq_dep_q50"	"eq_dep_mean"	"eq_dep_q75"	"eq_dep_max"	"no_eq_lt50km"	"no_eq_lt100km"	"no_eq_lt150km"	"no_eq_lt200km"	"no_eq_lt250km"	"no_eq_lt300km"	"no_eq_lt350km"	"no_eq_lt400km"	"eq_mag_min"	"eq_mag_q25"	"eq_mag_q50"	"eq_mag_mean"	"eq_mag_q75"	"eq_mag_max"	"no_eq_gtM25"	"no_eq_gtM30"	"no_eq_gtM35"	"no_eq_gtM40"	"no_eq_gtM45"	"no_eq_gtM50"	"no_eq_gtM55"	"no_eq_gtM60"	"no_eq_gtM65"	"no_eq_gtM70"	"no_eq_gtM75"	"Code"	"Major_Unit"	"bio1_lake"	"bio2_lake"	"bio3_lake"	"bio4_lake"	"bio5_lake"	"bio6_lake"	"bio7_lake"	"bio8_lake"	"bio9_lake"	"bio10_lake"	"bio11_lake"	"bio12_lake"	"bio13_lake"	"bio14_lake"	"bio15_lake"	"bio16_lake"	"bio17_lake"	"bio18_lake"	"bio19_lake"	"bio1_ctchm"	"bio2_ctchm"	"bio3_ctchm"	"bio4_ctchm"	"bio5_ctchm"	"bio6_ctchm"	"bio7_ctchm"	"bio8_ctchm"	"bio9_ctchm"	"bio10_ctchm"	"bio11_ctchm"	"bio12_ctchm"	"bio13_ctchm"	"bio14_ctchm"	"bio15_ctchm"	"bio16_ctchm"	"bio17_ctchm"	"bio18_ctchm"	"bio19_ctchm"	"GLOF"	"Date"
"64"	"GL069925E35791N"	35.791	69.925	"M(o)"	"Amudarya"	"Surkhab"	"Surkhab"	0.045	4247	702.922485352	1	"acidVolcanics"	"Indian Plate"	46102	4450073	62572	0.014	620	6110	0.098	2	4244	4412	4511	4526	4645	4944	700	1.4	0.46	0.410022119128543	0.381404136077897	0.419807019100114	1398	5.6	100.08	154.18	148.54	206.9	364.9	186	336	675	906	1368	1390	1397	1398	3.1	4	4.3	4.31	4.5	7.5	1398	1398	1353	1046	334	64	25	10	4	3	0	"Quiangtang terrane"	"Indien Plate"	-3.61	101	295.1	810.17	13.94	-20.16	34.1	-5.69	7.94	7.94	-14.46	631.3	135.6	3.5	86.4	399.4	13.7	13.7	180.4	-4.17	101	295.4	810.44	13.4	-20.73	34.13	-6.28	7.4	7.4	-15.03	666.4	143.2	3.4	86.6	421.1	13.7	13.7	193.9	0	NA
"65"	"GL069929E35785N"	35.785	69.929	"M(o)"	"Amudarya"	"Surkhab"	"Surkhab"	0.041	4406	720	1	"acidVolcanics"	"Indian Plate"	42250	1313899	62572	0.048	607	6110	0.098	1	4399	4435	4537	4560	4646	4948	549	0.86	0.44	0.267656663675821	0.360562354826157	0.428104698776899	1398	5.6	100.08	153.5	148.41	206.9	364.9	186	336	677	908	1368	1390	1397	1398	3.1	4	4.3	4.31	4.5	7.5	1398	1398	1353	1045	334	64	25	10	4	3	0	"Quiangtang terrane"	"Indien Plate"	-3.4	101	295	810.2	14.1	-20	34.1	-5.5	8.1	8.1	-14.3	616	133	3	87	392	13	13	172	-4.25	101	295	810.57	13.34	-20.78	34.13	-6.35	7.34	7.34	-15.08	670.5	142.9	3.6	86.7	421.9	14.2	14.2	195.3	0	NA
"66"	"GL069929E35787N"	35.787	69.929	"M(o)"	"Amudarya"	"Surkhab"	"Surkhab"	0.016	4398	814.984680176	1	"acidVolcanics"	"Indian Plate"	16657	1316276	62572	0.048	750	6110	0.098	1	4399	4434	4536	4560	4645	4948	549	0.86	0.44	0.139331267369174	0.271137649284784	0.402969152879733	1401	5.6	100.3	153.7	148.52	206.9	364.9	186	336	677	908	1371	1393	1400	1401	3.1	4	4.3	4.31	4.5	7.5	1401	1401	1356	1048	335	64	25	10	4	3	0	"Quiangtang terrane"	"Indien Plate"	-3.4	101	295	810.2	14.1	-20	34.1	-5.5	8.1	8.1	-14.3	616	133	3	87	392	13	13	172	-4.25	101	295	810.57	13.34	-20.78	34.13	-6.35	7.34	7.34	-15.08	670.5	142.9	3.6	86.7	421.9	14.2	14.2	195.3	0	NA
"67"	"GL069930E35792N"	35.792	69.93	"M(o)"	"Amudarya"	"Surkhab"	"Surkhab"	0.053	4238	973.498840332	1	"acidVolcanics"	"Indian Plate"	53755	5066547	62572	0.012	868	6110	0.098	3	4236	4394	4482	4504	4629	4944	708	1.3	0.44	0.286072939975732	0.282896115305291	0.347325660005476	1408	5.6	100.68	154.75	148.83	206.9	364.9	186	337	678	909	1377	1399	1407	1408	3.1	4	4.3	4.31	4.5	7.5	1408	1408	1363	1054	337	64	25	10	4	3	0	"Quiangtang terrane"	"Indien Plate"	-3.16	101	295.4	809.96	14.34	-19.76	34.1	-5.22	8.34	8.34	-14.06	590.6	129.8	3	87	379.3	12.6	12.6	162.9	-4.06	101	295.3	810.39	13.5	-20.63	34.12	-6.16	7.51	7.51	-14.92	658.7	142	3.4	86.7	417.1	13.6	13.6	190.5	0	NA
"68"	"GL069933E35377N"	35.377	69.933	"M(o)"	"Indus"	"Kabul"	"Panjsher-Ghorband"	0.161	4256	636.396118164	1	"Metamorphics"	"Indian Plate"	164636	6961043	214741	0.031	765	50064	0.233	1	4253	4422	4526	4551	4672	5022	769	0.81	0.4	0.259361664904296	0.288475778460101	0.395518771012079	549	5.6	48.1	102.9	98.14	131.05	364.9	142	250	474	530	545	547	548	549	3.1	4	4.3	4.32	4.6	6.9	549	549	530	403	148	24	11	3	1	0	0	"Quiangtang terrane"	"Indien Plate"	-2.46	103	296.6	818.01	15.34	-19.33	34.7	-4.58	9.14	9.14	-13.46	658.9	139.8	5	86.5	414.8	17.6	17.6	206.2	-3.67	103	296.8	817.63	14.2	-20.49	34.7	-5.85	7.98	7.98	-14.61	699.1	148.9	4.9	87.6	440.9	17.5	17.5	224.8	0	NA
"69"	"GL069951E35808N"	35.808	69.951	"M(e)"	"Amudarya"	"Surkhab"	"Surkhab"	0.233	4409	90	1	"acidVolcanics"	"Indian Plate"	238876	4121606	86519	0.021	293	29884	0.345	0	4404	4580	4695	4700	4836	5092	688	-2.95	0.51	0.509742466160284	0.552091342675403	0.549406448277708	1488	5.6	101.68	159	150.17	206.91	364.9	189	344	699	950	1456	1479	1487	1488	3	4	4.3	4.32	4.5	7.5	1488	1487	1438	1111	365	79	32	13	4	3	0	"Quiangtang terrane"	"Indien Plate"	-4.27	101	295	810.63	13.29	-20.84	34.1	-6.37	7.33	7.33	-15.14	671.5	169.3	4	92	469.5	16	16	165.2	-5.15	100.9	294.9	811.15	12.46	-21.69	34.1	-7.3	6.48	6.48	-15.99	703.2	167.4	3.9	90.1	475.4	15.5	15.5	187.1	0	NA
"75"	"GL069964E35375N"	35.375	69.964	"M(o)"	"Indus"	"Kabul"	"Alingar-Alishing-Nuristan"	0.037	4227	1006.23059082	1	"Metamorphics"	"Indian Plate"	37650	4372807	407578	0.093	678	64086	0.157	0	4242	4433	4541	4552	4668	4976	734	1.81	0.49	0.409036030820129	0.51530125687765	0.512338294073693	568	5.6	48.18	102.3	98.18	128.48	364.9	146	261	491	548	564	566	567	568	3.1	4	4.3	4.32	4.6	6.9	568	568	548	420	150	24	11	3	1	0	0	"Quiangtang terrane"	"Indien Plate"	-3.19	103	296	817.69	14.65	-19.99	34.64	-5.35	8.45	8.45	-14.15	702.4	151.5	5	88	448	18	18	224	-3.56	103	296.1	817.68	14.3	-20.36	34.67	-5.75	8.1	8.1	-14.5	716.4	156.6	5.4	88.1	460.9	19.3	19.3	223.3	0	NA
"80"	"GL069980E35813N"	35.813	69.98	"M(o)"	"Amudarya"	"Surkhab"	"Surkhab"	0.026	4461	90	1	"acidPlutonics"	"Indian Plate"	26544	1350285	64419	0.048	8	5607	0.087	0	4449	4542	4630	4632	4708	4891	442	1.3	0.48	0.376952965148077	0.457449541883815	0.480774067143124	1560	5.6	102.21	162.95	151.14	206.8	364.9	191	352	720	994	1526	1550	1559	1560	3	4	4.3	4.33	4.5	7.5	1560	1559	1504	1168	389	91	38	16	6	4	0	"Quiangtang terrane"	"Indien Plate"	-4.4	100	294	811.1	13.1	-21	34.1	-6.5	7.2	7.2	-15.3	646	135	3	87	401	12	12	200	-4.76	100	294.4	811.22	12.78	-21.31	34.1	-6.89	6.85	6.85	-15.61	658.8	139.7	3	87.4	413.5	12.2	12.2	200.9	0	NA
"84"	"GL069983E35823N"	35.823	69.983	"M(o)"	"Amudarya"	"Surkhab"	"Surkhab"	0.056	4409	768.960327148	1	"acidPlutonics"	"Indian Plate"	57580	5579094	244876	0.044	651	22868	0.093	0	4412	4522	4613	4635	4723	5053	641	2.17	0.4	0.282986997568885	0.338689123089273	0.339384789934469	1582	5.6	102.32	164.15	151.33	206.68	364.9	194	355	726	1009	1548	1572	1581	1582	3	4.1	4.3	4.33	4.6	7.5	1582	1581	1525	1188	398	93	38	16	6	4	0	"Quiangtang terrane"	"Indien Plate"	-4.18	100	295	810.95	13.32	-20.71	34.1	-6.28	7.39	7.39	-15.01	631.6	132.8	3	87	385.9	11.7	11.7	198.7	-4.83	100.3	295	810.98	12.72	-21.38	34.1	-7	6.77	6.77	-15.68	675	145.6	3.3	87.5	424.4	12.9	12.9	203.8	0	NA
"87"	"GL069986E35815N"	35.815	69.986	"M(o)"	"Amudarya"	"Surkhab"	"Surkhab"	0.057	4410	685.419555664	1	"acidPlutonics"	"Indian Plate"	58405	2106565	64419	0.031	575	5607	0.087	1	4409	4485	4603	4591	4673	4891	482	1.29	0.43	0.334688384969239	0.399844059659827	0.416916348926539	1578	5.6	102.3	164	151.25	206.68	364.9	193	355	725	1008	1544	1568	1577	1578	3	4.1	4.3	4.33	4.6	7.5	1578	1577	1522	1186	397	93	38	16	6	4	0	"Quiangtang terrane"	"Indien Plate"	-4.3	100	295	810.9	13.2	-20.9	34.1	-6.5	7.3	7.3	-15.2	591	122	3	86	364	11	11	183	-4.57	100	294.6	811.1	12.95	-21.14	34.1	-6.72	7.03	7.03	-15.44	638.5	134.5	3	87	398.4	11.9	11.9	195.8	0	NA
